Part_Number,Alt_Code,Supplier_Code,Manufacturer,Product_Type,Description,Micron,Media,Max_Temp_F,Max_PSI,Flow_Rate,Efficiency,Application,Industry,In_Stock,Qty_On_Hand,Price
,055000-000010,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,Filtration,Multi-Industry,No,0.0,0.0
,055000-000011,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,Filtration,Multi-Industry,No,0.0,0.0
,055000-000012,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,Filtration,Multi-Industry,No,0.0,0.0
,055000-000013,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,Filtration,Multi-Industry,No,0.0,0.0
055000-000014,055000-000014,055000-000014,Amiad Filtration Systems,Screen Filter,Filter Element,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,Filtration,Multi-Industry,No,0,1644.48
,055000-000015,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,Filtration,Multi-Industry,No,0.0,0.0
,055001-000003,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,Filtration,Multi-Industry,No,0.0,0.0
,055001-000004,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,Filtration,Multi-Industry,No,0.0,0.0
,055001-000006,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,Filtration,Multi-Industry,No,0.0,0.0
,055001-000010,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,Filtration,Multi-Industry,No,0.0,0.0
,055001-000011,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,Filtration,Multi-Industry,No,0.0,0.0
,055001-000012,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,Filtration,Multi-Industry,No,0.0,0.0
,055001-000013,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,Filtration,Multi-Industry,No,0.0,0.0
,055001-000014,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,Filtration,Multi-Industry,No,0.0,0.0
,055001-000015,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,Filtration,Multi-Industry,No,0.0,0.0
,055001-000016,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,Filtration,Multi-Industry,No,0.0,0.0
,055001-000017,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,Filtration,Multi-Industry,No,0.0,0.0
,055001-000018,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,Filtration,Multi-Industry,No,0.0,0.0
,055001-000025,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,Filtration,Multi-Industry,No,0.0,0.0
,055002-000007,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,Filtration,Multi-Industry,No,0.0,0.0
,055002-000010,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,Filtration,Multi-Industry,No,0.0,0.0
055002-000011,055002-000011,055002000011,Amiad Filtration Systems,Screen Filter,Filter,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,Filtration,Multi-Industry,No,0.0,0.0
,055002-000012,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,Filtration,Multi-Industry,No,0.0,0.0
,055002-000013,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,Filtration,Multi-Industry,No,0.0,0.0
,055002-000014,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,Filtration,Multi-Industry,No,0.0,0.0
,055002-000015,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,Filtration,Multi-Industry,No,0.0,0.0
,055002-000016,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,Filtration,Multi-Industry,No,0.0,0.0
,055002-000017,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,Filtration,Multi-Industry,No,0.0,0.0
,055002-000018,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,Filtration,Multi-Industry,No,0.0,0.0
,055002-000020,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,Filtration,Multi-Industry,No,0.0,0.0
,055002-000021,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,Filtration,Multi-Industry,No,0.0,0.0
,055002-000032,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,Filtration,Multi-Industry,No,0.0,0.0
055002-000033,055002-000033,055002-000033,Amiad Filtration Systems,Screen Filter,Filter,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,Filtration,Multi-Industry,No,0,4129.13
,055011-000002,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,Filtration,Multi-Industry,No,0.0,0.0
,055011-000003,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,Filtration,Multi-Industry,No,0.0,0.0
,055011-000004,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,Filtration,Multi-Industry,No,0.0,0.0
,055011-000005,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,Filtration,Multi-Industry,No,0.0,0.0
,055012-000001,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,Filtration,Multi-Industry,No,0.0,0.0
,055012-000006,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,Filtration,Multi-Industry,No,0.0,0.0
,055012-000007,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,Filtration,Multi-Industry,No,0.0,0.0
,055012-000008,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,Filtration,Multi-Industry,No,0.0,0.0
,10.4,,Amiad Filtration Systems,Screen Filter,"POLYMERIC FLUSH VALVE ASSEMBLY 2""NC BSP STD",2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,Filtration,Multi-Industry,No,0.0,0.0
,10.6,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,Filtration,Multi-Industry,No,0.0,0.0
,10.7,,Amiad Filtration Systems,Screen Filter,PISTON W/U-CUP SEAL F/SIGMA PRO ASSY,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,Water Treatment,"Water Treatment, Municipal, Industrial",No,0.0,0.0
,11.1,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,Filtration,Multi-Industry,No,0.0,0.0
,12.1,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,Filtration,Multi-Industry,No,0.0,0.0
,16.1,,Amiad Filtration Systems,Screen Filter,ADI-P DC KIT PACKAGE ONE SOLENOID NO,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,Filtration,Multi-Industry,No,0.0,0.0
,16.5,,Amiad Filtration Systems,Screen Filter,"SOLENOID LATCH BACCARA G75-A3P 3WAY 3/2 NO 36W 12VDC 1/8""_x000D_
2.6MM PLASTIC BSP",2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,Filtration,Multi-Industry,No,0.0,0.0
,2.1,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,Filtration,Multi-Industry,No,0.0,30.0
,200190-000001,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,HVAC,Multi-Industry,No,0.0,0.0
,200190-000002,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,HVAC,Multi-Industry,No,0.0,0.0
,200190-000003,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,HVAC,Multi-Industry,No,0.0,0.0
,200190-000004,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,HVAC,Multi-Industry,No,0.0,0.0
,200190-000005,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,HVAC,Multi-Industry,No,0.0,0.0
,200190-000006,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,HVAC,Multi-Industry,No,0.0,0.0
,200190-000007,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,HVAC,Multi-Industry,No,0.0,0.0
,200190-000008,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,HVAC,Multi-Industry,No,0.0,0.0
,200190-000009,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,HVAC,Multi-Industry,No,0.0,0.0
,200190-000010,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,HVAC,Multi-Industry,No,0.0,0.0
,200190-000011,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,HVAC,Multi-Industry,No,0.0,0.0
,200190-000012,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,HVAC,Multi-Industry,No,0.0,0.0
,200190-000013,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,HVAC,Multi-Industry,No,0.0,0.0
,200190-000014,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,HVAC,Multi-Industry,No,0.0,0.0
,200190-000015,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,HVAC,Multi-Industry,No,0.0,0.0
,200190-000016,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,HVAC,Multi-Industry,No,0.0,0.0
,200190-000017,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,HVAC,Multi-Industry,No,0.0,0.0
,200190-000018,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,HVAC,Multi-Industry,No,0.0,0.0
,200190-000019,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,HVAC,Multi-Industry,No,0.0,0.0
,200190-000020,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,HVAC,Multi-Industry,No,0.0,0.0
,200290-000001,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,HVAC,Multi-Industry,No,0.0,0.0
,200290-000002,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,HVAC,Multi-Industry,No,0.0,0.0
,200290-000003,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,HVAC,Multi-Industry,No,0.0,0.0
,200290-000004,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,HVAC,Multi-Industry,No,0.0,0.0
,200290-000005,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,HVAC,Multi-Industry,No,0.0,0.0
,200290-000006,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,HVAC,Multi-Industry,No,0.0,0.0
,200290-000007,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,HVAC,Multi-Industry,No,0.0,0.0
,200290-000008,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,HVAC,Multi-Industry,No,0.0,0.0
,200290-000009,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,HVAC,Multi-Industry,No,0.0,0.0
,200290-000010,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,HVAC,Multi-Industry,No,0.0,0.0
,200290-000011,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,HVAC,Multi-Industry,No,0.0,0.0
,200290-000012,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,HVAC,Multi-Industry,No,0.0,0.0
,200290-000013,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,HVAC,Multi-Industry,No,0.0,0.0
,200290-000014,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,HVAC,Multi-Industry,No,0.0,0.0
,200290-000015,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,HVAC,Multi-Industry,No,0.0,0.0
,200290-000016,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,HVAC,Multi-Industry,No,0.0,0.0
,200290-000017,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,HVAC,Multi-Industry,No,0.0,0.0
,200290-000018,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,HVAC,Multi-Industry,No,0.0,0.0
,200290-000019,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,HVAC,Multi-Industry,No,0.0,0.0
,200290-000020,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,HVAC,Multi-Industry,No,0.0,0.0
210190-000001,210190-000001,,Amiad Filtration Systems,Screen Filter,"SMF 20 Filter & 1.5 HP Pump, Skid Mounted, System Water Backwash",2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,HVAC,"Water Treatment, Municipal, Industrial",No,0,12016.12
210190-000002,210190-000002,210190000002,Amiad Filtration Systems,Screen Filter,"SMF 24 Filter & 2 HP Pump, Skid Mounted, System Water Backwash",2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,HVAC,"Water Treatment, Municipal, Industrial",No,0.0,0.0
210190-000003,210190-000003,SMF2-30,Amiad Filtration Systems,Screen Filter,"SMF 30 Filter & 3 HP Pump, Skid Mounted, System Water Backwash",2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,HVAC,"Water Treatment, Municipal, Industrial",No,0.0,0.0
,210190-000004,,Amiad Filtration Systems,Screen Filter,"SMF 36 Filter & 3 HP Pump, Skid Mounted, System Water Backwash",2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,HVAC,"Water Treatment, Municipal, Industrial",No,0.0,0.0
,210190-000005,,Amiad Filtration Systems,Screen Filter,"SMF 42 Filter & 5 HP Pump, Skid Mounted, System Water Backwash",2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,HVAC,"Water Treatment, Municipal, Industrial",No,0.0,0.0
,210190-000006,,Amiad Filtration Systems,Screen Filter,"SMF 48 Filter & 5 HP Pump, Skid Mounted, System Water Backwash",2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,HVAC,"Water Treatment, Municipal, Industrial",No,0.0,0.0
,210290-000001,,Amiad Filtration Systems,Screen Filter,"HMF 12 Filter & 1 HP Pump, Skid Mounted, System Water Backwash",2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,HVAC,"Water Treatment, Municipal, Industrial",No,0.0,0.0
,210290-000002,,Amiad Filtration Systems,Screen Filter,"HMF 18 Filter & 1 HP Pump, Skid Mounted, System Water Backwash",2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,HVAC,"Water Treatment, Municipal, Industrial",No,0.0,0.0
,210290-000003,,Amiad Filtration Systems,Screen Filter,"HMF 24 Filter & 2 HP Pump, Skid Mounted, System Water Backwash",2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,HVAC,"Water Treatment, Municipal, Industrial",No,0.0,0.0
,210290-000004,,Amiad Filtration Systems,Screen Filter,"HMF 30 Filter & 3 HP Pump, Skid Mounted, System Water Backwash",2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,HVAC,"Water Treatment, Municipal, Industrial",No,0.0,0.0
,210290-000005,,Amiad Filtration Systems,Screen Filter,"HMF 36 Filter & 3 HP Pump, Skid Mounted, System Water Backwash",2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,HVAC,"Water Treatment, Municipal, Industrial",No,0.0,0.0
,210290-000006,,Amiad Filtration Systems,Screen Filter,"HMF 42 Filter & 5 HP Pump, Skid Mounted, System Water Backwash",2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,HVAC,"Water Treatment, Municipal, Industrial",No,0.0,0.0
,210290-000007,,Amiad Filtration Systems,Screen Filter,"HMF 48 Filter & 5 HP Pump, Skid Mounted, System Water Backwash",2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,HVAC,"Water Treatment, Municipal, Industrial",No,0.0,0.0
,210490-000001,,Amiad Filtration Systems,Screen Filter,"BMF 54 Filter & 7.5 HP Pump, Skid Mounted, System Water Backwash",2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,HVAC,"Water Treatment, Municipal, Industrial",No,0.0,0.0
,210490-000002,,Amiad Filtration Systems,Screen Filter,"BMF 60 Filter & 10 HP Pump, Skid Mounted, System Water Backwash",2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,HVAC,"Water Treatment, Municipal, Industrial",No,0.0,0.0
,210490-000003,,Amiad Filtration Systems,Screen Filter,"BMF 66 Filter & 10 HP Pump, Skid Mounted, System Water Backwash",2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,HVAC,"Water Treatment, Municipal, Industrial",No,0.0,0.0
,210490-000004,,Amiad Filtration Systems,Screen Filter,"BMF 72 Filter & 10 HP Pump, Skid Mounted, System Water Backwash",2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,HVAC,"Water Treatment, Municipal, Industrial",No,0.0,0.0
,210490-000005,,Amiad Filtration Systems,Screen Filter,"BMF 78 Filter & 15 HP Pump, Skid Mounted, System Water Backwash",2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,HVAC,"Water Treatment, Municipal, Industrial",No,0.0,0.0
,210490-000006,,Amiad Filtration Systems,Screen Filter,"BMF 84 Filter & 15 HP Pump, Skid Mounted, System Water Backwash",2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,HVAC,"Water Treatment, Municipal, Industrial",No,0.0,0.0
,210490-000007,,Amiad Filtration Systems,Screen Filter,"BMF 90 Filter & 15 HP Pump, Skid Mounted, System Water Backwash",2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,HVAC,"Water Treatment, Municipal, Industrial",No,0.0,0.0
,210490-000008,,Amiad Filtration Systems,Screen Filter,"BMF 96 Filter & 20 HP Pump, Skid Mounted, System Water Backwash",2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,HVAC,"Water Treatment, Municipal, Industrial",No,0.0,0.0
,5.1,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,Filtration,Multi-Industry,No,0.0,0.0
,5.12,,Amiad Filtration Systems,Screen Filter,BEARING HOUSING M100 PISTON BRASS F/DIRT COLLECTOR,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,Filtration,"Power Generation, Manufacturing",No,0.0,0.0
,5.13,,Amiad Filtration Systems,Screen Filter,,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,Filtration,Multi-Industry,No,0.0,0.0
,5.5,,Amiad Filtration Systems,Screen Filter,F100 NOZZLE RPA NATURAL,2-3500,Screen/Disc,140.0,150.0,25 GPM,Nominal,Filtration,Multi-Industry,No,0.0,0.0
